Activity ID,Activity Status,WBS Code,(*)WBS Name,Activity Name,GWDXAU-Activity Short Name,GWDXAU-Reports,(*)Start,(*)Finish,Original Duration(h),(*)Actual Duration(h),GWDXAG-Asset,GWDXAG-Rig Name,GWDXAG-Region,GWDXAG-Well Type,GWDXAG-Rig Activity Type,GWDXAG-FM Status,GWDXAG-Rig Contractor,GWDXAG-Rig Type,GWDXAG-Plan,GWDXAG-Estimate,GWDXAG-Event Type,GWDXAG-Wellhead Type,GMDXAG-NWcp Stage,(*)BL1 Start,(*)BL1 Finish,(*)BL1 Duration(h),Delete This Row
EACT001,Active,WBS001,Well Spud Early,Early Spudding Operations,EarlySpud,Drilling,2025-01-10T08:00:00,2025-01-12T18:00:00,58,58,GOM.Atlantis,Rig Alpha,GOM,Drilling,RSU,Active,Contractor A,Drilling Rig,Plan,Estimate,Spud,Conventional,Stage 1,2025-01-10T08:00:00,2025-01-12T18:00:00,58,
EACT002,Active,WBS002,Accelerated Drilling,Accelerated Drilling Phase,FastDrill,Drilling,2025-01-15T06:00:00,2025-01-18T20:00:00,86,86,GOM.Atlantis,Rig Alpha,GOM,Drilling,DRL,Active,Contractor A,Drilling Rig,Plan,Estimate,Drill,Conventional,Stage 2,2025-01-15T06:00:00,2025-01-18T20:00:00,86,
EACT003,Active,WBS003,Rapid Completion,Fast Track Completion,FastComplete,Completion,2025-01-22T07:00:00,2025-01-25T19:00:00,84,84,GOM.Atlantis,Rig Alpha,GOM,Completion,CPL,Active,Contractor A,Drilling Rig,Plan,Estimate,Complete,Conventional,Stage 3,2025-01-22T07:00:00,2025-01-25T19:00:00,84,
EACT004,Active,WBS004,Quick Move,Fast Mobilization,FastMove,Operations,2025-01-28T08:00:00,2025-01-29T16:00:00,32,32,GOM.ThunderHorse,Rig Beta,GOM,Drilling,RM,Active,Contractor B,Drilling Rig,Plan,Estimate,Move,Conventional,Stage 1,2025-01-28T08:00:00,2025-01-29T16:00:00,32,
EACT005,Active,WBS005,Express Workover,Express Workover Operations,ExpressWorkover,Production,2025-02-02T09:00:00,2025-02-05T17:00:00,80,80,GOM.ThunderHorse,Rig Beta,GOM,Production,WWP,Active,Contractor B,Workover Rig,Plan,Estimate,Workover,Conventional,Stage 1,2025-02-02T09:00:00,2025-02-05T17:00:00,80,
EACT006,Active,WBS006,Enhanced Water Support,Enhanced Support Operations,EnhancedWS,Support,2025-02-10T08:00:00,2025-02-13T18:00:00,82,82,GOM.Atlantis,Rig Alpha,GOM,Support,WS,Active,Contractor A,Support Vessel,Plan,Estimate,Support,Conventional,Stage 1,2025-02-10T08:00:00,2025-02-13T18:00:00,82,
EACT007,Active,WBS007,Expedited P&A,Expedited Plug and Abandon,FastP&A,Decommission,2025-02-18T07:00:00,2025-02-21T19:00:00,84,84,GOM.MadDog,Rig Gamma,GOM,Decommission,P&A,Active,Contractor C,Drilling Rig,Plan,Estimate,P&A,Conventional,Stage 1,2025-02-18T07:00:00,2025-02-21T19:00:00,84,
EACT008,Active,WBS008,Fast Mobilization,Quick Rig Mobilization,QuickMOB,Operations,2025-02-25T06:00:00,2025-02-26T18:00:00,36,36,GOM.MadDog,Rig Gamma,GOM,Mobilization,MOB,Active,Contractor C,Drilling Rig,Plan,Estimate,Mobilize,Conventional,Stage 1,2025-02-25T06:00:00,2025-02-26T18:00:00,36,
EACT009,Active,WBS009,Rapid Intervention,Rapid Well Intervention,RapidWWI,Production,2025-03-02T08:00:00,2025-03-04T16:00:00,56,56,GOM.ThunderHorse,Rig Beta,GOM,Production,WWI,Active,Contractor B,Workover Rig,Plan,Estimate,Intervention,Conventional,Stage 1,2025-03-02T08:00:00,2025-03-04T16:00:00,56,
EACT010,Active,WBS010,Fast TAR,Fast Turn Around Operations,FastTAR,Maintenance,2025-03-08T07:00:00,2025-03-11T19:00:00,84,84,GOM.Atlantis,Rig Alpha,GOM,Maintenance,TAR,Active,Contractor A,Drilling Rig,Plan,Estimate,TAR,Conventional,Stage 1,2025-03-08T07:00:00,2025-03-11T19:00:00,84,
